name,website,vertical ,sub vertical,Descripcion / solución ,país ¿dónde se encuentra su principal sede de operaciones? ,ciudad/región ,Estadío actual ,Teléfono ,Mail ,LINKEDIN,INSTAGRAM ,FACEBOOK,X (twitter),Logo ,Founder/s,Founded,Modelo de Negocio,"DESTACADO/ BADGES ¿QUÉ LA HACE ESPECIAL?""",Funding total 2026,ETAPA DE MADUREZ ¿En qué momento del crecimiento está?,ÁREA INFLUENCIA: ¿qué alcance tiene su solución hoy?,"ESTADIO SOLUCIÓN (¿En qué nivel de madurez tecnológica se encuentra tu proyecto?)""",IMPACTO /SOCIOAMBIENTAL,RESULTADO / OUTCOME ¿QUÉ PASÓ CON LA EMPRESA?
Savor,https://savor.it/?ref=failory,AgriFood,Grasas Sintetizadas / FoodTech,Produce grasas y aceites que imitan exactamente la estructura molecular de grasas animales Estados Unidosndo síntesis química sin origen animal ni vegetal.,Estados Unidos,"San Francisco, CA",Seed,N/D,info@savor.it,linkedin.com/company/savor-foodtech,N/D,N/D,N/D,,"Kathleen Alexander, Arianna Pittenger",2021,B2B · Ingredientes grasos para food manufacturers,Grasas sintetizadas sin origen animal ni vegetal · Bill Gates-backed,,Temprana,Global,5,Grasas = componente crítico del sabor. Savor puede descarbonizar completamente la industria grasa.,Activa
Royal Farms,https://www.royalfarms.com/?ref=failory,AgriFood,Cadena de Convenience Stores / QSR,Cadena de tiendas de conveniencia con restaurante incorporado conocida por su pollo frito (WOWA Chicken) en la Costa Este de Estados Unidos.,Estados Unidos,"Baltimore, MD",Growth,N/D,N/D,linkedin.com/company/royal-farms,instagram.com/royalfarmsofficial,facebook.com/royalfarmsofficial,N/D,,N/D (familia Rosenfeld),1959,B2C · Tiendas de conveniencia + QSR,Pollo frito icónico (WOWA) · 300+ tiendas en Mid-Atlantic Estados Unidos,,Madurez,Regional (Estados Unidos East Coast),8,Fuera del foco cleantech/sostenible. Modelo tradicional de QSR.,Activa
Chickapea,https://chickapea.com//?ref=failory,AgriFood,Pasta de Legumbres,"Pasta hecha 100% de garbanzos y lentejas, sin gluten, alta en proteína y fibra.",Canadá,"Toronto, ON",Growth,N/D,info@chickapea.com,linkedin.com/company/chickapea-pasta,instagram.com/chickapea_pasta,N/D,twitter.com/chickapea_pasta,,Shelby Taylor,2015,B2C · Retail + D2C,Pasta de legumbres 100% · Alta proteína · Sin gluten,,Madurez,Nacional,7,Legumbres fijan nitrógeno regenerando suelos. Menor huella ambiental que trigo.,Activa
Superground,https://www.superground.com/?ref=failory,AgriFood,Cold Brew Coffee Premium,"Café cold brew premium con proceso de extracción en frío propio, envasado en lata y distribución en retail.",Estados Unidos,N/D,Seed,N/D,N/D,N/D,N/D,N/D,N/D,,N/D,2020,B2C · Retail + D2C,Cold brew premium de nicho,,Temprana,Local,4,Proceso en frío consume menos energía que extracción en caliente.,Activa
Sahyadri Farms,https://www.sahyadrifarms.com/?ref=failory,AgriFood,Cooperativa Agricola / Fresh Produce,"Mayor cooperativa de agricultores de Maharashtra (India) que cultiva y exporta uvas, granadas y fresas con prácticas sostenibles.",India,"Nashik, Maharashtra",Growth,N/D,info@sahyadrifarms.com,linkedin.com/company/sahyadri-farms,N/D,N/D,N/D,,Vilas Shinde,2010,B2B + B2C · Export + retail doméstico,Mayor cooperativa de fresh produce India · 50.000+ agricultores · Export a EU,,Madurez,Global,8,Empodera a pequeños agricultores con mejor precio y acceso a mercados globales.,Activa
Doughlicious,https://doughlicious.co.Reino Unido/?ref=failory,AgriFood,Postres / Cookie Dough Congelado,"Cookie dough congelado listo para hornear o comer crudo, en versiones veganas y sin gluten. Fundado por Abby Clarke.",Reino Unido,Londres,Seed,N/D,hello@doughlicious.co.Reino Unido,linkedin.com/company/doughlicious,instagram.com/doughliciousldn,N/D,N/D,,Abby Clarke,2020,B2C · Retail + D2C,"Cookie dough vegano premium · Sainsbury's, Waitrose Reino Unido",,Temprana,Nacional,5,Versión vegana reduce impacto ambiental vs cookie dough convencional con huevo y mantequilla.,Activa
FarmDidi,https://www.farmdidi.com/?ref=failory,AgriFood,AgriTech / Empoderamiento Mujeres Agricultoras,"Plataforma digital que conecta a mujeres agricultoras rurales de India con mercados, capacitación y servicios financieros.",India,"Pune, Maharashtra",Seed,N/D,info@farmdidi.com,linkedin.com/company/farm-didi,instagram.com/farm_didi,N/D,N/D,,Sudha Padmanabhan,2019,B2B2C · Marketplace agro + servicios a agricultoras,Empoderamiento mujeres agricultoras India · Premio ONU,,Temprana,Local,4,Empoderamiento económico de mujeres rurales. Agricultura sostenible por smallholders.,Activa
Heura Foods,https://heurafoods.com/?ref=failory,AgriFood,Proteína Vegetal / Plant-Based,"Empresa española líder en plant-based con productos de pollo, ternera y embutidos de origen vegetal. Modelo de impacto y B-Corp.",España,Barcelona,Series B,N/D,info@heurafoods.com,linkedin.com/company/heura,instagram.com/eatheura,facebook.com/eatheura,twitter.com/eat_heura,,"Marc Coloma, Bernat Añaños",2017,B2C · Retail + foodservice,"Líder plant-based España · B-Corp · Good Rebel Award · Carrefour, McDonald's",,Escala,Regional (Europa),7,Carne de origen vegetal reduce 70-90% emisiones vs carne animal convencional.,Activa
UMAMI Bioworks,https://www.umamibioworks.com/?ref=failory,AgriFood,Mariscos Cultivados / Cell-Based,"Desarrolla mariscos y pescados cultivados (cell-based seafood) con foco en especies de alta demanda como cangrejo, camarón y atún.",Singapur,Singapur,Series A,N/D,info@umamibioworks.com,linkedin.com/company/umami-bioworks,N/D,N/D,N/D,,Mihir Pershad,2021,B2B · Ingredientes + B2C futuro,Cell-based seafood Singapore · ACE Award · Temasek-backed,,Escala,Global,6,Pesca industrial destruye ecosistemas marinos. Mariscos cultivados sin pesca extractiva.,Activa
Whittard Of Chelsea,https://www.whittard.co.Reino Unido/?ref=failory,AgriFood,Té y Café Premium / Retail,"Marca centenaria británica de tés, cafés y accesorios premium con tiendas propias en Reino Unido y distribución global.",Reino Unido,Londres,Growth,N/D,N/D,linkedin.com/company/whittard-of-chelsea,instagram.com/whittardofchelsea,facebook.com/whittardofchelsea,twitter.com/whittard,,Walter Whittard (fundación histórica),1886,B2C · Tiendas propias + retail + D2C,Marca centenaria Reino Unido · 130+ años · 80+ tiendas · Gifting premium,,Madurez,Global,8,Sourcing de té con programas de comercio justo y sostenibilidad con comunidades productoras.,Activa
Wastelink,http://www.wastelink.co/?ref=failory,AgriFood,Gestión de Residuos Orgánicos,"Plataforma SaaS para gestión, trazabilidad y valorización de residuos orgánicos de la industria alimentaria.",Reino Unido,N/D,Seed,N/D,N/D,linkedin.com/company/wastelink,N/D,N/D,N/D,,N/D,2020,B2B · SaaS para gestión de residuos,SaaS para trazabilidad y valorización de residuos orgánicos,,Temprana,Regional (Europa),4,Residuos orgánicos industriales = desperdicio masivo y emisiones de metano evitables.,Activa
Orbisk,https://orbisk.com/en/?ref=failory,AgriFood,Reducción Desperdicio Alimentario / IoT,Sistema de cámara + IA instalado en cocinas profesionales que mide y clasifica automáticamente el desperdicio de alimentos.,Países Bajos,Utrecht,Series A,N/D,info@orbisk.com,linkedin.com/company/orbisk,instagram.com/orbisk_official,N/D,N/D,,Olaf van der Veen,2019,B2B · Hardware + SaaS para restaurantes y hoteles,"IA para medir desperdicio en cocinas profesionales · Hilton, AccorHotels",,Escala,Regional (Europa),6,Restaurantes desperdician 1/3 de la comida. Orbisk puede reducirlo 50%+ con datos.,Activa
Typcal,https://www.typcal.com.br/p/mush?ref=failory,AgriFood,Snacks de Cogumelos / Mushroom,Snacks saludables a base de cogumelos (mushrooms) con alto contenido de fibra beta-glucano y propiedades funcionales.,Brasil,São Paulo,Seed,N/D,N/D,linkedin.com/company/typcal,instagram.com/typcal.br,N/D,N/D,,N/D,2020,B2C · Retail + D2C,Snacks de cogumelos funcionales en Brasil,,Temprana,Local,4,Cogumelos crecen en sustratos de residuos agrícolas. Mínima huella de tierra y agua.,Activa
BioBlends,https://bioblends.bio/?ref=failory,AgriFood,Ingredientes Fermentados / Proteínas,Desarrolla mezclas de proteínas fermentadas y cultivos iniciadores para la industria alimentaria funcional.,N/D,N/D,Seed,N/D,N/D,N/D,N/D,N/D,N/D,,N/D,2020,B2B · Ingredientes para food manufacturers,Proteínas fermentadas para industria alimentaria,,Temprana,Local,3,Fermentación mejora aprovechamiento de proteínas vegetales. Menor desperdicio de nutrientes.,Activa
Planetary,https://www.planetarygroup.ch/?ref=failory,AgriFood,Alimentación Sostenible / B2B Ingredientes,Grupo suizo que desarrolla y distribuye ingredientes y soluciones alimentarias sostenibles para la industria food & beverage europea.,Suiza,Zürich,Series A,N/D,info@planetarygroup.ch,linkedin.com/company/planetary-group,N/D,N/D,N/D,,N/D,2018,B2B · Distribución + desarrollo de ingredientes,Soluciones alimentarias sostenibles B2B para Europa,,Escala,Regional (Europa),5,Transición hacia ingredientes de menor impacto ambiental en la industria alimentaria.,Activa
Perfat Technologies,https://perfat.com/?ref=failory,AgriFood,Grasas Estructuradas / FoodTech,Desarrolla grasas estructuradas de origen vegetal que imitan la textura y funcionalidad de grasas animales para aplicaciones industriales.,Israel,Tel Aviv,Seed,N/D,N/D,linkedin.com/company/perfat-technologies,N/D,N/D,N/D,,N/D,2020,B2B · Ingredientes grasos para food manufacturers,Grasas vegetales estructuradas que imitan grasa animal · Israel FoodTech,,Temprana,Global,5,Grasas animales = alta huella ambiental. Alternativas vegetales estructuradas pueden reemplazarlas.,Activa
Sproud,https://besproud.com/?ref=failory,AgriFood,Proteína de Insectos,Cría insectos (larvas de mosca soldado negro) para producir proteína y fertilizante orgánico a partir de residuos orgánicos.,Bélgica,Bélgica,Seed,N/D,N/D,linkedin.com/company/besproud,N/D,N/D,N/D,,N/D,2019,B2B · Harina de insecto + fertilizante,Proteína de insectos de residuos orgánicos · Economía circular,,Temprana,Regional (Europa),4,Insectos convierten residuos en proteína con 12x menos tierra y 2000x menos agua que ganado bovino.,Activa
Frooty,https://www.frooty.com.br/?ref=failory,AgriFood,Frutas y Snacks Saludables / D2C,Plataforma D2C de snacks de frutas naturales y saludables sin conservantes ni aditivos para el mercado brasileño.,Brasil,N/D,Seed,N/D,N/D,N/D,N/D,N/D,N/D,,N/D,2020,B2C · D2C online + retail,Snacks de fruta natural sin aditivos en Brasil,,Temprana,Local,3,Fruta natural vs snacks procesados azucarados. Reduce consumo de ultraprocesados.,Activa
Solar Foods,https://solarfoods.com/?ref=failory,AgriFood,Proteína del Aire / Fermentación,"Produce Solein: proteína fabricada a partir de CO₂, agua y electricidad renovable Estados Unidosndo microorganismos. Sin tierra ni sol.",Finlandia,Helsinki,Series B,N/D,info@solarfoods.com,linkedin.com/company/solar-foods,instagram.com/solarfoods_official,N/D,twitter.com/solarfoods_,,"Pasi Vainikka, Juha-Pekka Pitkänen",2017,B2B · Ingrediente proteico para food manufacturers,Solein: proteína del CO₂ y electricidad · ESA-backed · Novel Food EU aprobado,,Escala,Global,6,"Proteína sin tierra, sin agua de riego, sin pesticidas. El alimento más sostenible posible.",Activa
Bruna by Altum Lab,https://bruna.ai/?ref=failory,Tech,IA para Retail Alimentario,"Plataforma de IA para supermercados y retailers alimentarios que optimiza precios, inventario y reduce desperdicio.",Brasil,São Paulo,Seed,N/D,N/D,linkedin.com/company/bruna-ai,N/D,N/D,N/D,,N/D,2021,B2B · SaaS para retail alimentario,IA para optimización de retail alimentario Brasil,,Temprana,Local,4,Desperdicio en retail alimentario = problema masivo. IA puede reducirlo 20-30%.,Activa
ENOUGH,https://www.enough-food.com/?ref=failory,AgriFood,Proteína Fúngica / Mycoprotein,"Produce ABUNDA, proteína fúngica de alta calidad (similar a Quorn) mediante fermentación continua de alta eficiencia.",Reino Unido,Teesside,Series B,N/D,info@enough-food.com,linkedin.com/company/enough-food,N/D,N/D,N/D,,"Jim Laird, Tony Hunter",2015,B2B · Ingrediente proteico para food manufacturers,ABUNDA: micopreteína fermentada de alta eficiencia · Largest mycoprotein plant EU,,Escala,Global,7,"Micoproteína: 90% menos tierra, 90% menos emisiones que proteína animal. Alta calidad nutricional.",Activa
Nutrumami,https://www.nutrumami.com/?ref=failory,AgriFood,Ingredientes Umami Naturales,Desarrolla ingredientes naturales de sabor umami a partir de fermentación de levaduras para reducir sal y potenciar sabor.,N/D,N/D,Seed,N/D,N/D,N/D,N/D,N/D,N/D,,N/D,2021,B2B · Ingredientes para food manufacturers,Ingredientes umami naturales via fermentación,,Temprana,Local,4,Reducción de sodio = mejor salud cardiovascular. Ingredientes naturales vs aditivos sintéticos.,Activa
Veeba Foods,http://www.veeba.in/?ref=failory,AgriFood,Salsas y Condimentos Premium India,"Fabricante indio de salsas, aderezos y condimentos premium para food service y retail. Líder en segmento B2B India.",India,Delhi,Growth,N/D,N/D,linkedin.com/company/veeba,instagram.com/veebafoods,N/D,N/D,,Viraj Bahl,2013,B2B + B2C · Food service + retail,"Líder salsas premium B2B India · McDonald's, KFC, Subway proveedor",,Madurez,Nacional,7,Reducción de conservantes artificiales en nueva línea. Local sourcing de ingredientes.,Activa
Boortmalt,http://www.boortmalt.com/?ref=failory,AgriFood,Malta para Cerveza / Ingredientes,Mayor grupo maltero de Europa. Produce malta de cebada para la industria cervecera mundial. Parte del Grupo Axéréal.,Bélgica,Gante,Growth,N/D,N/D,linkedin.com/company/boortmalt,N/D,N/D,N/D,,N/D (Axéréal Group),1927,B2B · Venta de malta a cerveceras,Mayor maltero de Europa · Axéréal Group · 30+ plantas · 3.5M ton/año,,Madurez,Global,9,Provee a cerveceras que implementan sostenibilidad. Programas de agua y energía en plantas.,Activa
Revo Foods,https://revo-foods.com/?ref=failory,AgriFood,Mariscos de Origen Vegetal / 3D Printing,"Produce mariscos de origen vegetal (salmón, atún, camarón) Estados Unidosndo impresión 3D para replicar textura de mariscos reales.",Austria,Viena,Series A,N/D,office@revo-foods.com,linkedin.com/company/revo-foods,instagram.com/revofoods,N/D,twitter.com/revo_foods,,Robin Simsa,2020,B2C · Retail + D2C,"Mariscos 3D-printed de origen vegetal · Rewe, Spar Austria",,Escala,Regional (Europa),6,Pesca extractiva destruye ecosistemas. Mariscos plant-based sin impacto en océanos.,Activa
Kilcoy Global Food,https://australia.kilcoyglobalfoods.com/?ref=failory,AgriFood,Carne / Procesamiento,"Proveedor global de proteína animal y plant-based, procesamiento de carne vacuna y alternativas. Operaciones en Australia y Asia.",Australia,"Kilcoy, Queensland",Growth,N/D,N/D,linkedin.com/company/kilcoy-global-foods,N/D,N/D,N/D,,N/D,1952,B2B · Exportación de carne + proteínas alternativas,Procesador carne bovino Australia + plant-based · Asia export leader,,Madurez,Global,8,Programa de sostenibilidad en producción bovina. Diversificación hacia proteínas alternativas.,Activa
Louis Dreyfus Company,http://www.ldc.com/?ref=failory,AgriFood,Commodities Agrícolas / Trading,"Uno de los mayores traders de commodities agrícolas del mundo (ABCD de granos). Granos, oleaginosas, azúcar, algodón, arroz.",Países Bajos,Rotterdam,Growth,N/D,N/D,linkedin.com/company/louis-dreyfus-company,N/D,N/D,N/D,,N/D (familia Louis-Dreyfus),1851,B2B · Trading de commodities + logística,ABCD trader · $50B+ revenue · Supply chain de granos globales,,Madurez,Global,9,Programa LDC Foundation para agricultores. Carbon neutral goals 2050. Inversión en trazabilidad.,Activa
Dniprovska Agri Group,https://dneprovska.com.ua/?ref=failory,AgriFood,Producción Agrícola / Ucrania,"Productor agrícola ucraniano especializado en aceite de girasol, harina y granos. Impactado por conflicto bélico.",Reino Unidoraine,Dnipro,Growth,N/D,N/D,linkedin.com/company/dneprovska,N/D,N/D,N/D,,N/D,1995,B2B · Exportación de granos y aceite vegetal,Productor agrícola ucraniano · Aceite de girasol · Afectado por guerra,,Madurez,Regional (Europa del Este),7,Seguridad alimentaria regional. Ucrania es crucial para suministro mundial de granos y aceites.,Activa
Beyond Snáck,https://www.beyondsnack.in/?ref=failory,AgriFood,Snacks de Plátano / India,Snacks de plátano premium (Kerala banana chips) producidos artesanalmente y escalados con packaging moderno para retail.,India,"Kochi, Kerala",Series A,N/D,N/D,linkedin.com/company/beyond-snack,instagram.com/beyondsnack.in,N/D,N/D,,Manas Madhu,2019,B2C · Retail + D2C + export,Kerala banana chips premium · D2C + export India,,Escala,Nacional,6,Valoriza producción agrícola local de Kerala. Emplea mujeres en producción artesanal.,Activa
Eden Brew,https://www.edenbrew.com.au/?ref=failory,AgriFood,Leche de Precisión / Fermentación,"Produce proteínas lácteas (caseína, suero) idénticas a las de la vaca mediante fermentación de precisión, sin animales.",Australia,Melbourne,Seed,N/D,info@edenbrew.com.au,linkedin.com/company/eden-brew,instagram.com/edenbrewau,N/D,N/D,,Vignesh Rajagopal,2021,B2B · Ingredientes lácteos sin vacas,Proteínas lácteas sin vaca via fermentación de precisión · Australia,,Temprana,Global,5,Industria láctea = 3.4% emisiones globales. Fermentación de precisión puede eliminar ese impacto.,Activa
Fazenda Futuro,https://fazendafuturo.io/?ref=failory,AgriFood,Carne de Origen Vegetal / Brasil,Empresa brasileña de carne de origen vegetal con productos como el 'Future Burger'. Líder plant-based en Brasil.,Brasil,São Paulo,Series B,N/D,contato@fazendafuturo.io,linkedin.com/company/fazenda-futuro,instagram.com/fazendafuturo,facebook.com/fazendafuturo,twitter.com/fazendafuturo,,Marcos Leta,2019,B2C · Retail + foodservice,Líder plant-based Brasil · Future Burger · Presente en 18 países,,Escala,Regional (Latam),7,Carne de origen vegetal reduce 80-90% emisiones vs carne convencional en Brasil.,Activa
Urban Legend,https://urban-legend.com/?ref=failory,AgriFood,Donuts Saludables / Snacks Mejor,"Donuts de alta proteína, bajos en azúcar y sin freír. Modelo de ghost kitchen y delivery premium.",Reino Unido,Londres,Seed,N/D,N/D,linkedin.com/company/urban-legend-donuts,instagram.com/urbanlegenddonuts,N/D,N/D,,"Tim Boucher (ex-Google, Apple)",2020,B2C · Delivery + tiendas propias,Donuts saludables sin freír · Alta proteína · Fundador ex-Google/Apple,,Temprana,Local,4,Reduce consumo de azúcar y grasas trans vs donuts convencionales fritos.,Activa
International Dairy Products,https://idp.vn/?ref=failory,AgriFood,Lácteos Vietnam,"Empresa de productos lácteos vietnamita: leche, yogurt, queso bajo marca Ba Vì. Una de las mayores productoras domésticas.",Vietnam,Hanói,Growth,N/D,N/D,linkedin.com/company/idp-vietnam,N/D,N/D,N/D,,N/D,1993,B2C · Retail nacional Vietnam,Líder lácteos Ba Vì Vietnam · Distribución nacional,,Madurez,Nacional,7,Mejora nutricional de la población vietnamita con productos lácteos locales.,Activa
Yellow Swan,https://www.ylswan.com/?ref=failory,AgriFood,Alimentos Saludables / China,Empresa china de alimentos saludables y suplementos nutricionales. Productos funcionales para el mercado doméstico chino.,China,N/D,Growth,N/D,N/D,N/D,N/D,N/D,N/D,,N/D,2015,B2C · Retail + e-commerce China,Alimentos funcionales y saludables China,,Madurez,Nacional,6,Mejora nutricional de consumidores chinos. Reducción de enfermedades crónicas.,Activa
Nowwa Coffee,https://www.nowwa.cn/?ref=failory,AgriFood,Cadena Café Especialidad China,"Cadena de cafeterías de especialidad en China con modelo rápido, precio accesible y calidad de specialty coffee.",China,Shanghai,Series B,N/D,N/D,linkedin.com/company/nowwa-coffee,N/D,N/D,N/D,,N/D,2019,B2C · Tiendas propias + takeaway,Specialty coffee accesible China · Compite con Luckin Coffee,,Escala,Nacional,6,Modelo de menor desperdicio vs cadenas internacionales. Proveedores locales de leche.,Activa
Mycorena,https://mycorena.com/?ref=failory,AgriFood,Proteína Fúngica / Mycoprotein,"Produce Promyc, micoproteína de hongos filamentosos mediante fermentación de residuos agroindustriales, para aplicaciones alimentarias.",Suecia,Gotemburgo,Series A,N/D,info@mycorena.com,linkedin.com/company/mycorena,instagram.com/mycorena,N/D,twitter.com/mycorena,,"Ramkumar Nair, Ebba Fröling",2018,B2B · Ingrediente proteico para food manufacturers,Promyc: micoproteína de residuos agroindustriales · EU Horizon-backed,,Escala,Regional (Europa),6,"Proteína fúngica: 99% menos tierra que carne, 90% menos agua. Circular: Estados Unidos residuos como sustrato.",Activa
Hiperbaric,https://www.hiperbaric.com/?ref=failory,AgriFood,Equipos High Pressure Processing (HPP),Líder mundial en fabricación de equipos de alta presión hidrostática (HPP) para preservar alimentos sin calor ni conservantes.,España,Burgos,Growth,N/D,info@hiperbaric.com,linkedin.com/company/hiperbaric,instagram.com/hiperbaric_hppcommunity,N/D,twitter.com/hiperbaric,,Andrés Hernando,1999,B2B · Venta y alquiler de equipos HPP + tolling,Líder mundial equipos HPP · 300+ clientes en 50 países · NASA Food Technology,,Madurez,Global,9,HPP elimina necesidad de conservantes químicos. Extiende vida útil reduciendo desperdicio.,Activa
Xueji chaohuo,https://www.xinnuofood.com/?ref=failory,AgriFood,Alimentos Procesados / China,Empresa china de alimentos procesados y productos alimentarios para el mercado doméstico e industrial.,China,N/D,Growth,N/D,N/D,N/D,N/D,N/D,N/D,,N/D,2010,B2B + B2C · Venta de productos alimentarios,,,Madurez,Nacional,6,Producción eficiente de alimentos para mercado masivo chino.,Activa
Jungle France,https://www.jungle.bio/old-home?ref=failory,AgriFood,Microbioma / Ingredientes Bioactivos,"Desarrolla ingredientes bioactivos y fibras prebióticas a partir de selvas tropicales, Estados Unidosndo hongos y microorganismos únicos.",Francia,París,Seed,N/D,N/D,linkedin.com/company/jungle-bio,N/D,N/D,N/D,,N/D,2021,B2B · Ingredientes bioactivos para food manufacturers,,,Temprana,Regional (Europa),4,Valorización de biodiversidad tropical. Protección de selvas mediante uso sostenible.,Activa
Vicentin S.A.I.C.,http://www.vicentin.com.ar/?ref=failory,AgriFood,Agroindustria / Oleaginosas,Uno de los mayores exportadores de soja y aceite de girasol de Argentina. Agroindustria de gran escala.,Argentina,"Avellaneda, Santa Fe",Growth,54 3482 420271,N/D,linkedin.com/company/vicentin,N/D,N/D,N/D,,Familia Vicentín,1929,B2B · Exportación de granos y aceites vegetales,,,Madurez,Global,8,Argentina produce 50M+ ton de soja/año. Vicentín mueve una porción significativa del comercio exterior.,Activa
Shandi Global,https://shandiglobal.com/?ref=failory,AgriFood,Especias / Ingredientes Globales,"Proveedor global de especias, hierbas y ingredientes naturales para la industria alimentaria. Trazabilidad y calidad certificada.",Estados Unidos,N/D,Growth,N/D,N/D,linkedin.com/company/shandi-global,N/D,N/D,N/D,,N/D,2015,B2B · Venta de especias a food manufacturers,,,Madurez,Global,7,Abastecimiento ético de especias. Programas con comunidades productoras.,Activa
Frigorífico Concepción,https://www.frigorificoconcepcion.com.py/?ref=failory,AgriFood,Carne / Frigorífico Paraguay,"Frigorífico paraguayo exportador de carne vacuna con certificaciones para exportación a Europa, Estados Unidos y Asia.",Paraguay,Concepción,Growth,595 331 242 500,N/D,linkedin.com/company/frigorifico-concepcion,N/D,N/D,N/D,,N/D,1960,B2B · Exportación de carne vacuna,,,Madurez,Global,7,Programa de trazabilidad bovina. Certificaciones de bienestar animal.,Activa
Blueglass Yogurt,http://www.blueglass.vip/?ref=failory,AgriFood,Yogurt / Bebidas Probióticas Premium,Cadena premium de yogurt y bowls saludables con ingredientes funcionales y probióticos. Modelo de retail/café saludable.,Reino Unido,Londres,Growth,N/D,N/D,linkedin.com/company/blueglass,instagram.com/blueglass_london,N/D,N/D,,N/D,2012,B2C · Tiendas propias + retail,,,Madurez,Local,7,Probióticos = beneficios para microbioma. Menos azúcar que yogurt convencional.,Activa
Wetaca,http://wetaca.com/?ref=failory,AgriFood,Meal Prep / Comida Preparada España,Servicio de suscripción de comidas caseras preparadas y refrigeradas entregadas semanalmente. Líder en meal prep en España.,España,Madrid,Series B,34 910 052 180,hola@wetaca.com,linkedin.com/company/wetaca,instagram.com/wetaca,facebook.com/wetaca,twitter.com/wetaca,,"Esteban Mayoral, Marc Coloma",2015,B2C · Suscripción semanal de comidas,,,Escala,Nacional,7,Reduce desperdicio al enviar porciones exactas. Menos packaging vs supermercado.,Activa
JustSpices,https://www.justspices.de/?ref=failory,AgriFood,Especias / Condimentos DTC,Marca de mezclas de especias y condimentos premium con modelo D2C y presencia en retail europeo. Adquirida por Unilever.,Alemania,Düsseldorf,Adquirida,N/D,N/D,linkedin.com/company/just-spices,instagram.com/justspices,facebook.com/justspices,twitter.com/justspices,,"Florian Falk, Ole Strohschnieder, Bela Sееmann",2014,B2C · D2C + retail,,,Adquirida,Regional (Europa),8,Condimentos que incentivan cocina casera. Reducción de comida ultra-procesada.,Adquirida
Kern Tec,https://www.kern-tec.com/?ref=failory,AgriFood,Economía Circular / Semillas de Fruta,"Extrae aceites y proteínas de semillas de frutas (albaricoque, manzana, cereza) que normalmente se descartan como residuos.",Austria,Viena,Series A,N/D,office@kern-tec.com,linkedin.com/company/kern-tec,instagram.com/kern_tec,N/D,twitter.com/kern_tec,,"Sebastian Gurtner, LReino Unidoas Böhmer",2019,B2B · Ingredientes de semillas residuales,,,Escala,Regional (Europa),6,Economía circular: residuo industrial → ingrediente premium. Sin tierra ni agua adicionales.,Activa
Gavan,https://www.gavan.bio/?ref=failory,AgriFood,Bioinsumos / Agricultura Regenerativa,Desarrolla bioinsumos (biofertilizantes y bioestimulantes) a partir de microorganismos para reemplazar fertilizantes sintéticos.,Francia,N/D,Seed,N/D,N/D,linkedin.com/company/gavan-bio,N/D,N/D,N/D,,N/D,2021,B2B · Venta de bioinsumos a agricultores,,,Temprana,Regional (Europa),4,Fertilizantes sintéticos = 2% emisiones globales + eutrofización de ríos. Bioinsumos los reemplazan.,Activa
Axereal,http://www.axereal.com/?ref=failory,AgriFood,Cooperativa Agrícola / Cereales Francia,"Mayor cooperativa de cereales de Francia. 12.000 agricultores socios. Maltería (Boortmalt), harinería y trading de granos.",Francia,Orléans,Growth,33 2 38 78 40 00,N/D,linkedin.com/company/axereal,N/D,N/D,N/D,,Cooperativa (sin fundador único),1952,Cooperativa · Transformación y trading de cereales,,,Madurez,Global,9,Estructura cooperativa: retorno de valor al agricultor. Programas de agricultura regenerativa.,Activa
Starfield Food & Science Technology,http://www.starfieldcn.com/?ref=failory,AgriFood,Plant-Based / China,"Empresa china de productos plant-based (carne vegetal, mariscos vegetales) para el mercado doméstico chino y restaurantes.",China,Shenzhen,Series B,N/D,N/D,linkedin.com/company/starfield-china,N/D,N/D,N/D,,David Yeung (fundador Green Monday),2020,B2C + B2B · Retail + foodservice China,,,Escala,Nacional,6,Carne vegetal para mercado chino con 1.4B consumidores potenciales.,Activa
Future Cow,http://www.futurecow.com.br/?ref=failory,AgriFood,AgTech / Ganadería Inteligente,"Plataforma IoT y analytics para gestión de rebaños bovinos: salud, reproducción, nutrición y trazabilidad.",Brasil,São Paulo,Series A,N/D,N/D,linkedin.com/company/futurecow,N/D,N/D,N/D,,N/D,2017,B2B · SaaS + hardware para ganaderos,,,Escala,Regional (Latam),6,Ganadería más eficiente = menor emisión de metano por kg de carne producido.,Activa
Growthwell Group,https://growthwellfoods.com/?ref=failory,AgriFood,Plant-Based / Singapore,Empresa singapore de proteínas alternativas plant-based y cultivadas para el mercado asiático. Distribuye en 10+ países.,Singapur,Singapur,Series B,N/D,N/D,linkedin.com/company/growthwell-foods,N/D,N/D,N/D,,Robin Ong,2017,B2B + B2C · Foodservice + retail Asia,,,Escala,Regional (Asia),6,"Reduce dependencia de proteína animal en Asia, región de consumo creciente.",Activa
Paleo,https://paleo.bio/?ref=failory,AgriFood,Grasa Animal Cultivada / Cell-Based,"Desarrolla grasa animal cultivada (porcina, bovina) para añadir a productos plant-based y mejorar sabor y textura.",Bélgica,Gante,Series A,N/D,info@paleo.bio,linkedin.com/company/paleo-bio,N/D,N/D,N/D,,Hermes Sanctorum,2020,B2B · Grasa cultivada para food manufacturers,,,Escala,Global,5,"Grasa sin animal = sin antibióticos, sin bienestar animal comprometido. Menor huella.",Activa
